# Curated common English misspellings (original<TAB>correction).
# These are corrected at high confidence even though web-frequency lists
# contain them. Sources: well-known transcription/typing error lists.
abberation	aberration
abscence	absence
accidentaly	accidentally
accomodate	accommodate
acheive	achieve
acknowledgement	acknowledgment
acquaintence	acquaintance
adress	address
agressive	aggressive
alledged	alleged
allmost	almost
alot	a lot
amoung	among
apparant	apparent
appearence	appearance
arguement	argument
assasin	assassin
athiest	atheist
basicly	basically
becasue	because
becuase	because
becuse	because
begining	beginning
beleive	believe
belive	believe
buisness	business
calender	calendar
camoflage	camouflage
catagory	category
cemetary	cemetery
charachter	character
charecter	character
cheif	chief
collegue	colleague
comming	coming
commitee	committee
completly	completely
concious	conscious
definately	definitely
definatly	definitely
definetly	definitely
desparate	desperate
diffrent	different
dilemna	dilemma
dissapear	disappear
dissapoint	disappoint
docter	doctor
embarass	embarrass
enviroment	environment
equiptment	equipment
excercise	exercise
existance	existence
experiance	experience
familar	familiar
finaly	finally
foriegn	foreign
freind	friend
futher	further
gaurd	guard
goverment	government
grammer	grammar
happend	happened
harrass	harass
heighth	height
humourous	humorous
immediatly	immediately
independant	independent
intrest	interest
knowlege	knowledge
labratory	laboratory
liason	liaison
libary	library
lisence	license
maintainance	maintenance
maintenence	maintenance
medeval	medieval
mispell	misspell
neccessary	necessary
necessery	necessary
noticable	noticeable
occassion	occasion
occured	occurred
occurence	occurrence
offical	official
oppurtunity	opportunity
paralell	parallel
pasttime	pastime
peice	piece
persistant	persistent
posession	possession
prefered	preferred
probaly	probably
proffesional	professional
promiss	promise
pronounciation	pronunciation
prupose	purpose
psuedo	pseudo
publically	publicly
quess	guess
reccomend	recommend
recieve	receive
refered	referred
relevent	relevant
religous	religious
remeber	remember
repitition	repetition
restaraunt	restaurant
rythm	rhythm
saftey	safety
secratary	secretary
seperate	separate
sieze	seize
similiar	similar
sincerly	sincerely
speach	speech
succesful	successful
supercede	supersede
suprise	surprise
tommorow	tomorrow
thier	their
tounge	tongue
truely	truly
unforseen	unforeseen
unfortunatly	unfortunately
untill	until
usualy	usually
vaccuum	vacuum
vegeterian	vegetarian
wierd	weird
wich	which
writting	writing
